"filename", "language", "Python", "comment", "blank", "total"
"/Users/circle/Desktop/foot_process/main.py", "Python", 6, 3, 2, 11
"/Users/circle/Desktop/foot_process/test_main.py", "Python", 0, 0, -3, -3
"Total", "-", 6, 3, -1, 8
