"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"/Users/circle/Desktop/foot_process/README.md", "Markdown", 0, 6, 0, 2, 8
"/Users/circle/Desktop/foot_process/crop_plastic_board.py", "Python", 12, 0, 16, 12, 40
"/Users/circle/Desktop/foot_process/detect_foot_direction.py", "Python", 25, 0, 25, 20, 70
"/Users/circle/Desktop/foot_process/main.py", "Python", 24, 0, 6, 10, 40
"/Users/circle/Desktop/foot_process/process_image.py", "Python", 36, 0, 27, 25, 88
"/Users/circle/Desktop/foot_process/split_image_vertically.py", "Python", 14, 0, 16, 12, 42
"/Users/circle/Desktop/foot_process/test.py", "Python", 42, 0, 23, 25, 90
"/Users/circle/Desktop/foot_process/test_main.py", "Python", 18, 0, 12, 10, 40
"Total", "-", 171, 6, 125, 116, 418
