"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"/Users/circle/Desktop/foot_process/README.md", "Markdown", 0, -1, 0, -1, -2
"/Users/circle/Desktop/foot_process/calculate_black_white_ratio.py", "Python", 12, 0, -1, 3, 14
"/Users/circle/Desktop/foot_process/main.py", "Python", 4, 0, 1, -1, 4
"/Users/circle/Desktop/foot_process/test.py", "Python", 2, 0, 0, 0, 2
"/Users/circle/Desktop/foot_process/test_main.py", "Python", 4, 0, 1, 0, 5
"Total", "-", 22, -1, 1, 1, 23
